¹,EC,Protein,R_1,R_2,R_3,R_4,R_5,R_6,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8
8407,1.1.1.4,"(R,R)-butanediol dehydrogenase","(2S,3S)-butane-2,3-diol",NAD+,NA,NA,NA,NA,(S)-acetoin,NADH,H+,NA,NA,NA,NA,NA
8408,1.1.1.6,glycerol dehydrogenase,"(2S,3S)-butane-2,3-diol",NAD+,NA,NA,NA,NA,(S)-acetoin,NADH,H+,NA,NA,NA,NA,NA
8409,1.1.1.B20,"meso-2,3-butandiol dehydrogenase","(2S,3S)-butane-2,3-diol",NAD+,NA,NA,NA,NA,(S)-acetoin,NADH,H+,NA,NA,NA,NA,NA
8410,1.1.1.1,alcohol dehydrogenase,an aromatic alcohol,NAD+,NA,NA,NA,NA,an aromatic aldehyde,NADH,H+,NA,NA,NA,NA,NA
8411,1.1.1.2,alcohol dehydrogenase (NADP+),an aromatic alcohol,NAD+,NA,NA,NA,NA,an aromatic aldehyde,NADH,H+,NA,NA,NA,NA,NA
8412,1.1.1.21,aldose reductase,an aromatic alcohol,NAD+,NA,NA,NA,NA,an aromatic aldehyde,NADH,H+,NA,NA,NA,NA,NA
8413,1.1.1.245,cyclohexanol dehydrogenase,an aromatic alcohol,NAD+,NA,NA,NA,NA,an aromatic aldehyde,NADH,H+,NA,NA,NA,NA,NA
8414,1.1.1.265,3-methylbutanal reductase,an aromatic alcohol,NAD+,NA,NA,NA,NA,an aromatic aldehyde,NADH,H+,NA,NA,NA,NA,NA
8415,1.1.1.307,D-xylose reductase,an aromatic alcohol,NAD+,NA,NA,NA,NA,an aromatic aldehyde,NADH,H+,NA,NA,NA,NA,NA
8416,1.1.1.347,geraniol dehydrogenase (NAD+),an aromatic alcohol,NAD+,NA,NA,NA,NA,an aromatic aldehyde,NADH,H+,NA,NA,NA,NA,NA
8417,1.1.1.6,glycerol dehydrogenase,an aromatic alcohol,NAD+,NA,NA,NA,NA,an aromatic aldehyde,NADH,H+,NA,NA,NA,NA,NA
8418,1.1.1.71,alcohol dehydrogenase [NAD(P)+],an aromatic alcohol,NAD+,NA,NA,NA,NA,an aromatic aldehyde,NADH,H+,NA,NA,NA,NA,NA
8419,1.1.1.73,octanol dehydrogenase,an aromatic alcohol,NAD+,NA,NA,NA,NA,an aromatic aldehyde,NADH,H+,NA,NA,NA,NA,NA
8420,1.14.14.51,(S)-limonene 6-monooxygenase,an aromatic alcohol,NAD+,NA,NA,NA,NA,an aromatic aldehyde,NADH,H+,NA,NA,NA,NA,NA
8421,1.2.1.5,aldehyde dehydrogenase [NAD(P)+],an aromatic alcohol,NAD+,NA,NA,NA,NA,an aromatic aldehyde,NADH,H+,NA,NA,NA,NA,NA
8422,1.1.1.1,alcohol dehydrogenase,an aromatic alcohol,NADP+,NA,NA,NA,NA,an aromatic aldehyde,NADPH,H+,NA,NA,NA,NA,NA
8423,1.1.1.149,20alpha-hydroxysteroid dehydrogenase,an aromatic alcohol,NADP+,NA,NA,NA,NA,an aromatic aldehyde,NADPH,H+,NA,NA,NA,NA,NA
8424,1.1.1.183,geraniol dehydrogenase (NADP+),an aromatic alcohol,NADP+,NA,NA,NA,NA,an aromatic aldehyde,NADPH,H+,NA,NA,NA,NA,NA
8425,1.1.1.184,carbonyl reductase (NADPH),an aromatic alcohol,NADP+,NA,NA,NA,NA,an aromatic aldehyde,NADPH,H+,NA,NA,NA,NA,NA
8426,1.1.1.19,glucuronate reductase,an aromatic alcohol,NADP+,NA,NA,NA,NA,an aromatic aldehyde,NADPH,H+,NA,NA,NA,NA,NA
8427,1.1.1.191,indole-3-acetaldehyde reductase (NADPH),an aromatic alcohol,NADP+,NA,NA,NA,NA,an aromatic aldehyde,NADPH,H+,NA,NA,NA,NA,NA
8428,1.1.1.195,cinnamyl-alcohol dehydrogenase,an aromatic alcohol,NADP+,NA,NA,NA,NA,an aromatic aldehyde,NADPH,H+,NA,NA,NA,NA,NA
8429,1.1.1.2,alcohol dehydrogenase (NADP+),an aromatic alcohol,NADP+,NA,NA,NA,NA,an aromatic aldehyde,NADPH,H+,NA,NA,NA,NA,NA
8430,1.1.1.21,aldose reductase,an aromatic alcohol,NADP+,NA,NA,NA,NA,an aromatic aldehyde,NADPH,H+,NA,NA,NA,NA,NA
8431,1.1.1.265,3-methylbutanal reductase,an aromatic alcohol,NADP+,NA,NA,NA,NA,an aromatic aldehyde,NADPH,H+,NA,NA,NA,NA,NA
8432,1.1.1.274,"2,5-didehydrogluconate reductase (2-dehydro-D-gluconate-forming)",an aromatic alcohol,NADP+,NA,NA,NA,NA,an aromatic aldehyde,NADPH,H+,NA,NA,NA,NA,NA
8433,1.1.1.283,methylglyoxal reductase (NADPH),an aromatic alcohol,NADP+,NA,NA,NA,NA,an aromatic aldehyde,NADPH,H+,NA,NA,NA,NA,NA
8434,1.1.1.71,alcohol dehydrogenase [NAD(P)+],an aromatic alcohol,NADP+,NA,NA,NA,NA,an aromatic aldehyde,NADPH,H+,NA,NA,NA,NA,NA
8435,1.1.1.72,glycerol dehydrogenase (NADP+),an aromatic alcohol,NADP+,NA,NA,NA,NA,an aromatic aldehyde,NADPH,H+,NA,NA,NA,NA,NA
8436,1.1.1.90,aryl-alcohol dehydrogenase,an aromatic alcohol,NADP+,NA,NA,NA,NA,an aromatic aldehyde,NADPH,H+,NA,NA,NA,NA,NA
8437,1.1.1.97,3-hydroxybenzyl-alcohol dehydrogenase,an aromatic alcohol,NADP+,NA,NA,NA,NA,an aromatic aldehyde,NADPH,H+,NA,NA,NA,NA,NA
8438,1.1.3.8,L-gulonolactone oxidase,"L-galactono-1,4-lactone",O2,NA,NA,NA,NA,L-ascorbate,H2O2,NA,NA,NA,NA,NA,NA
8439,1.1.3.29,N-acylhexosamine oxidase,N-acetyl-D-glucosamine,O2,H2O,NA,NA,NA,N-acetyl-D-glucosaminate,H2O2,NA,NA,NA,NA,NA,NA
8440,1.13.11.86,"5-aminosalicylate 1,2-dioxygenase","2,5-dihydroxybenzoate",O2,NA,NA,NA,NA,maleylpyruvate,NA,NA,NA,NA,NA,NA,NA
8441,1.14.13.1,salicylate 1-monooxygenase,salicylate,NADH,H+,O2,NA,NA,catechol,NAD+,H2O,CO2,NA,NA,NA,NA
8442,1.14.13.33,4-hydroxybenzoate 3-monooxygenase [NAD(P)H],4-hydroxybenzoate,NADPH,H+,O2,NA,NA,"3,4-dihydroxybenzoate",NADP+,H2O,NA,NA,NA,NA,NA
8443,1.2.1.42,hexadecanal dehydrogenase (acylating),acetaldehyde,CoA,NAD+,NA,NA,NA,acetyl-CoA,NADH,H+,NA,NA,NA,NA,NA
8444,1.2.1.57,butanal dehydrogenase,acetaldehyde,CoA,NAD+,NA,NA,NA,acetyl-CoA,NADH,H+,NA,NA,NA,NA,NA
8445,1.2.1.87,propanal dehydrogenase (CoA-propanoylating),acetaldehyde,CoA,NAD+,NA,NA,NA,acetyl-CoA,NADH,H+,NA,NA,NA,NA,NA
8446,1.2.1.19,aminobutyraldehyde dehydrogenase,glycolaldehyde,NAD+,H2O,NA,NA,NA,glycolate,NADH,H+,NA,NA,NA,NA,NA
8447,1.2.1.21,glycolaldehyde dehydrogenase,glycolaldehyde,NAD+,H2O,NA,NA,NA,glycolate,NADH,H+,NA,NA,NA,NA,NA
8448,1.2.1.22,lactaldehyde dehydrogenase,glycolaldehyde,NAD+,H2O,NA,NA,NA,glycolate,NADH,H+,NA,NA,NA,NA,NA
8449,1.2.1.24,succinate-semialdehyde dehydrogenase (NAD+),glycolaldehyde,NAD+,H2O,NA,NA,NA,glycolate,NADH,H+,NA,NA,NA,NA,NA
8450,1.2.1.3,aldehyde dehydrogenase (NAD+),glycolaldehyde,NAD+,H2O,NA,NA,NA,glycolate,NADH,H+,NA,NA,NA,NA,NA
8451,1.2.1.4,aldehyde dehydrogenase (NADP+),glycolaldehyde,NAD+,H2O,NA,NA,NA,glycolate,NADH,H+,NA,NA,NA,NA,NA
8452,1.2.1.5,aldehyde dehydrogenase [NAD(P)+],glycolaldehyde,NAD+,H2O,NA,NA,NA,glycolate,NADH,H+,NA,NA,NA,NA,NA
8453,1.2.1.69,fluoroacetaldehyde dehydrogenase,glycolaldehyde,NAD+,H2O,NA,NA,NA,glycolate,NADH,H+,NA,NA,NA,NA,NA
8454,1.2.1.8,betaine-aldehyde dehydrogenase,glycolaldehyde,NAD+,H2O,NA,NA,NA,glycolate,NADH,H+,NA,NA,NA,NA,NA
8455,1.2.1.25,branched-chain alpha-keto acid dehydrogenase system,3-methyl-2-oxobutanoate,CoA,NAD+,NA,NA,NA,2-methylpropanoyl-CoA,CO2,NADH,H+,NA,NA,NA,NA
8456,1.2.4.1,pyruvate dehydrogenase (acetyl-transferring),3-methyl-2-oxobutanoate,CoA,NAD+,NA,NA,NA,2-methylpropanoyl-CoA,CO2,NADH,H+,NA,NA,NA,NA
8457,1.2.4.4,3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring),3-methyl-2-oxobutanoate,CoA,NAD+,NA,NA,NA,2-methylpropanoyl-CoA,CO2,NADH,H+,NA,NA,NA,NA
8458,2.7.11.4,[3-methyl-2-oxobutanoate dehydrogenase (acetyl-transferring)] kinase,3-methyl-2-oxobutanoate,CoA,NAD+,NA,NA,NA,2-methylpropanoyl-CoA,CO2,NADH,H+,NA,NA,NA,NA
8459,1.2.1.32,aminomuconate-semialdehyde dehydrogenase,2-aminomuconate 6-semialdehyde,NAD+,H2O,NA,NA,NA,2-aminomuconate,NADH,H+,NA,NA,NA,NA,NA
8460,1.17.3.2,xanthine oxidase,retinal,NAD+,H2O,NA,NA,NA,retinoate,NADH,H+,NA,NA,NA,NA,NA
8461,1.2.1.3,aldehyde dehydrogenase (NAD+),retinal,NAD+,H2O,NA,NA,NA,retinoate,NADH,H+,NA,NA,NA,NA,NA
8462,1.2.1.36,retinal dehydrogenase,retinal,NAD+,H2O,NA,NA,NA,retinoate,NADH,H+,NA,NA,NA,NA,NA
8463,1.2.1.5,aldehyde dehydrogenase [NAD(P)+],retinal,NAD+,H2O,NA,NA,NA,retinoate,NADH,H+,NA,NA,NA,NA,NA
8464,1.1.1.300,NADP-retinol dehydrogenase,retinal,NAD+,H2O,NA,NA,NA,retinoate,NADH,H+,NA,NA,NA,NA,NA
8465,1.2.1.19,aminobutyraldehyde dehydrogenase,phenylacetaldehyde,NAD+,H2O,NA,NA,NA,phenylacetate,NADH,H+,NA,NA,NA,NA,NA
8466,1.2.1.3,aldehyde dehydrogenase (NAD+),phenylacetaldehyde,NAD+,H2O,NA,NA,NA,phenylacetate,NADH,H+,NA,NA,NA,NA,NA
8467,1.2.1.39,phenylacetaldehyde dehydrogenase,phenylacetaldehyde,NAD+,H2O,NA,NA,NA,phenylacetate,NADH,H+,NA,NA,NA,NA,NA
8468,1.2.1.5,aldehyde dehydrogenase [NAD(P)+],phenylacetaldehyde,NAD+,H2O,NA,NA,NA,phenylacetate,NADH,H+,NA,NA,NA,NA,NA
8469,1.2.1.8,betaine-aldehyde dehydrogenase,phenylacetaldehyde,NAD+,H2O,NA,NA,NA,phenylacetate,NADH,H+,NA,NA,NA,NA,NA
8470,1.2.1.3,aldehyde dehydrogenase (NAD+),a long-chain aldehyde,NAD+,H2O,NA,NA,NA,a long-chain carboxylate,NADH,H+,NA,NA,NA,NA,NA
8471,1.2.1.47,4-trimethylammoniobutyraldehyde dehydrogenase,a long-chain aldehyde,NAD+,H2O,NA,NA,NA,a long-chain carboxylate,NADH,H+,NA,NA,NA,NA,NA
8472,1.2.1.48,long-chain-aldehyde dehydrogenase,a long-chain aldehyde,NAD+,H2O,NA,NA,NA,a long-chain carboxylate,NADH,H+,NA,NA,NA,NA,NA
8473,1.2.1.5,aldehyde dehydrogenase [NAD(P)+],a long-chain aldehyde,NAD+,H2O,NA,NA,NA,a long-chain carboxylate,NADH,H+,NA,NA,NA,NA,NA
8474,1.2.1.19,aminobutyraldehyde dehydrogenase,betaine aldehyde,NAD+,H2O,NA,NA,NA,betaine,NADH,H+,NA,NA,NA,NA,NA
8475,1.2.1.21,glycolaldehyde dehydrogenase,betaine aldehyde,NAD+,H2O,NA,NA,NA,betaine,NADH,H+,NA,NA,NA,NA,NA
8476,1.2.1.24,succinate-semialdehyde dehydrogenase (NAD+),betaine aldehyde,NAD+,H2O,NA,NA,NA,betaine,NADH,H+,NA,NA,NA,NA,NA
8477,1.2.1.3,aldehyde dehydrogenase (NAD+),betaine aldehyde,NAD+,H2O,NA,NA,NA,betaine,NADH,H+,NA,NA,NA,NA,NA
8478,1.2.1.47,4-trimethylammoniobutyraldehyde dehydrogenase,betaine aldehyde,NAD+,H2O,NA,NA,NA,betaine,NADH,H+,NA,NA,NA,NA,NA
8479,1.2.3.1,aldehyde oxidase,(indol-3-yl)acetaldehyde,H2O,O2,NA,NA,NA,(indol-3-yl)acetate,H2O2,NA,NA,NA,NA,NA,NA
8480,1.3.1.31,2-enoate reductase,3-(2-hydroxyphenyl)propanoate,NAD+,NA,NA,NA,NA,2-coumarate,NADH,H+,NA,NA,NA,NA,NA
8481,1.3.1.12,prephenate dehydrogenase,prephenate,NAD+,NA,NA,NA,NA,4-hydroxyphenylpyruvate,CO2,NADH,H+,NA,NA,NA,NA
8482,1.3.1.13,prephenate dehydrogenase (NADP+),prephenate,NAD+,NA,NA,NA,NA,4-hydroxyphenylpyruvate,CO2,NADH,H+,NA,NA,NA,NA
8483,1.3.1.79,arogenate dehydrogenase [NAD(P)+],prephenate,NAD+,NA,NA,NA,NA,4-hydroxyphenylpyruvate,CO2,NADH,H+,NA,NA,NA,NA
8484,1.3.1.12,prephenate dehydrogenase,prephenate,NADP+,NA,NA,NA,NA,4-hydroxyphenylpyruvate,CO2,NADPH,H+,NA,NA,NA,NA
8485,1.3.1.13,prephenate dehydrogenase (NADP+),prephenate,NADP+,NA,NA,NA,NA,4-hydroxyphenylpyruvate,CO2,NADPH,H+,NA,NA,NA,NA
8486,1.3.1.78,arogenate dehydrogenase (NADP+),prephenate,NADP+,NA,NA,NA,NA,4-hydroxyphenylpyruvate,CO2,NADPH,H+,NA,NA,NA,NA
8487,1.3.1.79,arogenate dehydrogenase [NAD(P)+],prephenate,NADP+,NA,NA,NA,NA,4-hydroxyphenylpyruvate,CO2,NADPH,H+,NA,NA,NA,NA
8488,1.3.1.119,chlorobenzene dihydrodiol dehydrogenase,"cis-1,2-dihydrobenzene-1,2-diol",NAD+,NA,NA,NA,NA,catechol,NADH,H+,NA,NA,NA,NA,NA
8489,1.3.1.20,"trans-1,2-dihydrobenzene-1,2-diol dehydrogenase","cis-1,2-dihydrobenzene-1,2-diol",NAD+,NA,NA,NA,NA,catechol,NADH,H+,NA,NA,NA,NA,NA
8490,1.3.1.25,"1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate dehydrogenase","cis-1,2-dihydrobenzene-1,2-diol",NAD+,NA,NA,NA,NA,catechol,NADH,H+,NA,NA,NA,NA,NA
8491,1.3.1.29,"cis-1,2-dihydro-1,2-dihydroxynaphthalene dehydrogenase","cis-1,2-dihydrobenzene-1,2-diol",NAD+,NA,NA,NA,NA,catechol,NADH,H+,NA,NA,NA,NA,NA
8492,1.1.1.50,3alpha-hydroxysteroid 3-dehydrogenase (Si-specific),"cis-1,2-dihydrobenzene-1,2-diol",NAD+,NA,NA,NA,NA,catechol,NADH,H+,NA,NA,NA,NA,NA
8493,1.17.1.8,4-hydroxy-tetrahydrodipicolinate reductase,"(S)-2,3,4,5-tetrahydropyridine-2,6-dicarboxylate",NADP+,H2O,NA,NA,NA,"(2S,4S)-4-hydroxy-2,3,4,5-tetrahydrodipicolinate",NADPH,H+,NA,NA,NA,NA,NA
8494,1.17.1.8,4-hydroxy-tetrahydrodipicolinate reductase,"(S)-2,3,4,5-tetrahydropyridine-2,6-dicarboxylate",NAD+,H2O,NA,NA,NA,"(2S,4S)-4-hydroxy-2,3,4,5-tetrahydrodipicolinate",NADH,H+,NA,NA,NA,NA,NA
8495,1.3.1.32,maleylacetate reductase,3-oxoadipate,NADP+,NA,NA,NA,NA,2-maleylacetate,NADPH,H+,NA,NA,NA,NA,NA
8496,1.3.1.32,maleylacetate reductase,3-oxoadipate,NAD+,NA,NA,NA,NA,2-maleylacetate,NADH,H+,NA,NA,NA,NA,NA
8497,1.3.1.124,"2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing]","trans-2,3-didehydroacyl-CoA",NADP+,NA,NA,NA,NA,"trans,trans-2,3,4,5-tetradehydroacyl-CoA",NADPH,H+,NA,NA,NA,NA,NA
8498,1.3.1.34,"2,4-dienoyl-CoA reductase [(2E)-enoyl-CoA-producing]","trans-2,3-didehydroacyl-CoA",NADP+,NA,NA,NA,NA,"trans,trans-2,3,4,5-tetradehydroacyl-CoA",NADPH,H+,NA,NA,NA,NA,NA
8499,1.3.1.44,trans-2-enoyl-CoA reductase (NAD+),acyl-CoA,NADP+,NA,NA,NA,NA,"trans-2,3-dehydroacyl-CoA",NADPH,H+,NA,NA,NA,NA,NA
8500,1.3.1.8,acyl-CoA dehydrogenase (NADP+),acyl-CoA,NADP+,NA,NA,NA,NA,"trans-2,3-dehydroacyl-CoA",NADPH,H+,NA,NA,NA,NA,NA
8501,1.3.1.12,prephenate dehydrogenase,L-arogenate,NAD+,NA,NA,NA,NA,L-tyrosine,NADH,CO2,H+,NA,NA,NA,NA
8502,1.3.1.43,arogenate dehydrogenase,L-arogenate,NAD+,NA,NA,NA,NA,L-tyrosine,NADH,CO2,H+,NA,NA,NA,NA
8503,1.3.1.78,arogenate dehydrogenase (NADP+),L-arogenate,NAD+,NA,NA,NA,NA,L-tyrosine,NADH,CO2,H+,NA,NA,NA,NA
8504,1.3.1.79,arogenate dehydrogenase [NAD(P)+],L-arogenate,NAD+,NA,NA,NA,NA,L-tyrosine,NADH,CO2,H+,NA,NA,NA,NA
8505,1.3.1.51,2'-hydroxydaidzein reductase,vestitone,NADP+,NA,NA,NA,NA,2'-hydroxyformononetin,NADPH,H+,NA,NA,NA,NA,NA
8506,1.3.1.47,"alpha-santonin 1,2-reductase","1,2-dihydrosantonin",NADP+,NA,NA,NA,NA,alpha-santonin,NADPH,H+,NA,NA,NA,NA,NA
8507,1.3.1.47,"alpha-santonin 1,2-reductase","1,2-dihydrosantonin",NAD+,NA,NA,NA,NA,alpha-santonin,NADH,H+,NA,NA,NA,NA,NA
8508,1.3.1.5,cucurbitacin DELTA23-reductase,"23,24-dihydrocucurbitacin B",NADP+,NA,NA,NA,NA,cucurbitacin B,NADPH,H+,NA,NA,NA,NA,NA
8509,1.3.1.5,cucurbitacin DELTA23-reductase,"23,24-dihydrocucurbitacin B",NAD+,NA,NA,NA,NA,cucurbitacin B,NADH,H+,NA,NA,NA,NA,NA
8510,1.3.1.72,DELTA24-sterol reductase,ergosterol,NADP+,NA,NA,NA,NA,"ergosta-5,7,22,24(241)-tetraen-3beta-ol",NADPH,H+,NA,NA,NA,NA,NA
8511,1.3.3.8,tetrahydroberberine oxidase,(S)-tetrahydroberberine,O2,H+,NA,NA,NA,berberine,H2O2,NA,NA,NA,NA,NA,NA
8512,1.3.7.1,6-hydroxynicotinate reductase,"6-oxo-1,4,5,6-tetrahydronicotinate",oxidized ferredoxin,NA,NA,NA,NA,6-hydroxynicotinate,reduced ferredoxin,H+,NA,NA,NA,NA,NA
8513,1.4.1.1,alanine dehydrogenase,glycine,H2O,NAD+,NA,NA,NA,glyoxylate,NH3,NADH,H+,NA,NA,NA,NA
8514,1.4.1.12,"2,4-diaminopentanoate dehydrogenase","(2R,4S)-2,4-diaminopentanoate",H2O,NADP+,NA,NA,NA,(2R)-2-amino-4-oxopentanoate,NH3,NADPH,H+,NA,NA,NA,NA
8515,1.4.1.12,"2,4-diaminopentanoate dehydrogenase","(2R,4S)-2,4-diaminopentanoate",H2O,NAD+,NA,NA,NA,(2R)-2-amino-4-oxopentanoate,NH3,NADH,H+,NA,NA,NA,NA
8516,1.4.1.B5,glutamate synthase (NAD(P)H),L-glutamate,NADP+,NA,NA,NA,NA,L-glutamine,2-oxoglutarate,NADPH,H+,NA,NA,NA,NA
8517,1.4.1.13,glutamate synthase (NADPH),L-glutamate,NAD+,NA,NA,NA,NA,L-glutamine,2-oxoglutarate,NADH,H+,NA,NA,NA,NA
8518,1.5.1.25,thiomorpholine-carboxylate dehydrogenase,N-methyl-L-alanine,H2O,NADP+,NA,NA,NA,pyruvate,methylamine,NADPH,H+,NA,NA,NA,NA
8519,1.4.1.19,tryptophan dehydrogenase,L-tryptophan,NADP+,H2O,NA,NA,NA,(indol-3-yl)pyruvate,NH3,NADPH,H+,NA,NA,NA,NA
8520,1.4.1.19,tryptophan dehydrogenase,L-tryptophan,NAD+,H2O,NA,NA,NA,(indol-3-yl)pyruvate,NH3,NADH,H+,NA,NA,NA,NA
8521,1.4.1.20,phenylalanine dehydrogenase,L-tryptophan,NAD+,H2O,NA,NA,NA,(indol-3-yl)pyruvate,NH3,NADH,H+,NA,NA,NA,NA
8522,1.4.1.5,L-amino-acid dehydrogenase,L-tryptophan,NAD+,H2O,NA,NA,NA,(indol-3-yl)pyruvate,NH3,NADH,H+,NA,NA,NA,NA
8523,1.4.1.14,glutamate synthase (NADH),L-glutamate,H2O,NAD+,NA,NA,NA,2-oxoglutarate,NH3,NADH,H+,NA,NA,NA,NA
8524,1.4.1.3,glutamate dehydrogenase [NAD(P)+],L-glutamate,H2O,NAD+,NA,NA,NA,2-oxoglutarate,NH3,NADH,H+,NA,NA,NA,NA
8525,1.4.1.4,glutamate dehydrogenase (NADP+),L-glutamate,H2O,NAD+,NA,NA,NA,2-oxoglutarate,NH3,NADH,H+,NA,NA,NA,NA
8526,1.4.1.5,L-amino-acid dehydrogenase,L-glutamate,H2O,NAD+,NA,NA,NA,2-oxoglutarate,NH3,NADH,H+,NA,NA,NA,NA
8527,1.4.1.13,glutamate synthase (NADPH),L-glutamate,H2O,NADP+,NA,NA,NA,2-oxoglutarate,NH3,NADPH,H+,NA,NA,NA,NA
8528,1.4.1.2,glutamate dehydrogenase,L-glutamate,H2O,NADP+,NA,NA,NA,2-oxoglutarate,NH3,NADPH,H+,NA,NA,NA,NA
8529,1.4.1.3,glutamate dehydrogenase [NAD(P)+],L-glutamate,H2O,NADP+,NA,NA,NA,2-oxoglutarate,NH3,NADPH,H+,NA,NA,NA,NA
8530,1.4.1.23,valine dehydrogenase (NAD+),L-valine,H2O,NADP+,NA,NA,NA,3-methyl-2-oxobutanoate,NH3,NADPH,H+,NA,NA,NA,NA
8531,1.4.1.3,glutamate dehydrogenase [NAD(P)+],L-valine,H2O,NADP+,NA,NA,NA,3-methyl-2-oxobutanoate,NH3,NADPH,H+,NA,NA,NA,NA
8532,1.4.1.4,glutamate dehydrogenase (NADP+),L-valine,H2O,NADP+,NA,NA,NA,3-methyl-2-oxobutanoate,NH3,NADPH,H+,NA,NA,NA,NA
8533,1.4.7.1,glutamate synthase (ferredoxin),L-glutamate,oxidized ferredoxin,NA,NA,NA,NA,L-glutamine,2-oxoglutarate,reduced ferredoxin,H+,NA,NA,NA,NA
8534,1.5.1.1,1-piperideine-2-carboxylate/1-pyrroline-2-carboxylate reductase [NAD(P)H],L-proline,NADP+,NA,NA,NA,NA,1-pyrroline-2-carboxylate,NADPH,H+,NA,NA,NA,NA,NA
8535,1.5.1.25,thiomorpholine-carboxylate dehydrogenase,L-proline,NADP+,NA,NA,NA,NA,1-pyrroline-2-carboxylate,NADPH,H+,NA,NA,NA,NA,NA
8536,1.5.1.49,1-pyrroline-2-carboxylate reductase [NAD(P)H],L-proline,NADP+,NA,NA,NA,NA,1-pyrroline-2-carboxylate,NADPH,H+,NA,NA,NA,NA,NA
8537,1.5.1.1,1-piperideine-2-carboxylate/1-pyrroline-2-carboxylate reductase [NAD(P)H],L-proline,NAD+,NA,NA,NA,NA,1-pyrroline-2-carboxylate,NADH,H+,NA,NA,NA,NA,NA
8538,1.5.1.49,1-pyrroline-2-carboxylate reductase [NAD(P)H],L-proline,NAD+,NA,NA,NA,NA,1-pyrroline-2-carboxylate,NADH,H+,NA,NA,NA,NA,NA
8539,1.5.1.B5,DELTA1-piperideine-2-carboxylate/DELTA1-pyrroline-2-carboxylate reductase (NADH),L-proline,NAD+,NA,NA,NA,NA,1-pyrroline-2-carboxylate,NADH,H+,NA,NA,NA,NA,NA
8540,1.2.1.24,succinate-semialdehyde dehydrogenase (NAD+),L-glutamate 5-semialdehyde,NAD+,H2O,NA,NA,NA,L-glutamate,NADH,H+,NA,NA,NA,NA,NA
8541,1.2.1.41,glutamate-5-semialdehyde dehydrogenase,L-glutamate 5-semialdehyde,NAD+,H2O,NA,NA,NA,L-glutamate,NADH,H+,NA,NA,NA,NA,NA
8542,1.2.1.5,aldehyde dehydrogenase [NAD(P)+],L-glutamate 5-semialdehyde,NAD+,H2O,NA,NA,NA,L-glutamate,NADH,H+,NA,NA,NA,NA,NA
8543,1.5.1.5,methylenetetrahydrofolate dehydrogenase (NADP+),"5,10-methylenetetrahydrofolate",NAD+,NA,NA,NA,NA,"5,10-methenyltetrahydrofolate",NADH,H+,NA,NA,NA,NA,NA
8544,1.5.1.11,D-octopine dehydrogenase,N2-(D-1-carboxyethyl)-L-lysine,NADP+,H2O,NA,NA,NA,L-lysine,pyruvate,NADPH,H+,NA,NA,NA,NA
8545,1.5.1.2,pyrroline-5-carboxylate reductase,L-proline,NADP+,NA,NA,NA,NA,1-pyrroline-5-carboxylate,NADPH,H+,NA,NA,NA,NA,NA
8546,1.2.1.88,L-glutamate gamma-semialdehyde dehydrogenase,L-proline,NAD+,NA,NA,NA,NA,1-pyrroline-5-carboxylate,NADH,H+,NA,NA,NA,NA,NA
8547,1.5.1.2,pyrroline-5-carboxylate reductase,L-proline,NAD+,NA,NA,NA,NA,1-pyrroline-5-carboxylate,NADH,H+,NA,NA,NA,NA,NA
8548,1.5.1.20,methylenetetrahydrofolate reductase [NAD(P)H],L-proline,NAD+,NA,NA,NA,NA,1-pyrroline-5-carboxylate,NADH,H+,NA,NA,NA,NA,NA
8549,1.5.5.2,proline dehydrogenase,L-proline,NAD+,NA,NA,NA,NA,1-pyrroline-5-carboxylate,NADH,H+,NA,NA,NA,NA,NA
8550,1.5.1.20,methylenetetrahydrofolate reductase [NAD(P)H],5-methyltetrahydrofolate,NAD+,NA,NA,NA,NA,"5,10-methylenetetrahydrofolate",NADH,H+,NA,NA,NA,NA,NA
8551,1.5.1.1,1-piperideine-2-carboxylate/1-pyrroline-2-carboxylate reductase [NAD(P)H],L-pipecolate,NADP+,NA,NA,NA,NA,1-piperideine-2-carboxylate,NADPH,H+,NA,NA,NA,NA,NA
8552,1.5.1.25,thiomorpholine-carboxylate dehydrogenase,L-pipecolate,NADP+,NA,NA,NA,NA,1-piperideine-2-carboxylate,NADPH,H+,NA,NA,NA,NA,NA
8553,1.5.1.49,1-pyrroline-2-carboxylate reductase [NAD(P)H],L-pipecolate,NADP+,NA,NA,NA,NA,1-piperideine-2-carboxylate,NADPH,H+,NA,NA,NA,NA,NA
8554,1.18.1.2,ferredoxin-NADP+ reductase,FMNH2,NADP+,NA,NA,NA,NA,FMN,NADPH,H+,NA,NA,NA,NA,NA
8555,1.5.1.30,flavin reductase (NADPH),FMNH2,NADP+,NA,NA,NA,NA,FMN,NADPH,H+,NA,NA,NA,NA,NA
8556,1.5.1.36,flavin reductase (NADH),FMNH2,NADP+,NA,NA,NA,NA,FMN,NADPH,H+,NA,NA,NA,NA,NA
8557,1.5.1.39,FMN reductase [NAD(P)H],FMNH2,NADP+,NA,NA,NA,NA,FMN,NADPH,H+,NA,NA,NA,NA,NA
